pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
Home---Home	743	42	12	9	7	10	7	8	7	7	7	6	69
Home---atwork	67	24	9	0	1	0	0	0	0	1	1	0	17
Home---eatout	242	234	92	71	68	59	54	68	60	51	49	45	541
Home---escort	894	767	253	153	125	124	108	112	116	98	87	76	949
Home---othdiscr	285	242	139	108	117	111	116	98	100	91	92	87	1053
Home---othmaint	390	337	127	107	88	92	99	94	93	88	82	79	737
Home---school	144	284	352	316	277	272	270	259	245	210	190	169	1904
Home---shopping	610	534	208	120	114	103	114	137	122	103	98	111	1033
Home---social	137	127	51	46	40	41	37	36	46	32	26	25	312
Home---univ	87	82	25	28	21	19	21	21	16	18	21	11	167
Home---work	203	211	210	228	234	253	286	319	341	353	340	355	4419
Work---Home	26	22	28	38	58	63	74	50	74	60	61	58	1019
Work---Work	3	5	2	0	0	0	0	1	0	0	1	0	2
Work---atwork	2	4	1	1	0	1	0	0	1	0	0	0	3
Work---eatout	51	18	8	2	4	2	3	4	1	1	2	2	45
Work---escort	46	20	5	6	4	5	6	2	2	5	4	2	47
Work---othdiscr	32	16	5	1	2	1	0	1	0	2	1	0	18
Work---othmaint	53	28	6	2	6	3	4	3	2	4	5	0	50
Work---shopping	76	29	13	0	3	2	2	7	0	5	7	2	68
Work---social	21	13	1	2	0	1	0	0	0	0	0	1	10
Work---univ	0	1	0	0	0	0	0	0	0	0	0	0	1
Work---work	38	25	9	5	1	1	7	4	3	3	4	6	108
atwork---Work	595	416	215	147	115	88	79	60	69	61	39	43	390
atwork---atwork	11	2	0	1	0	0	0	0	0	0	0	0	1
atwork---eatout	48	36	8	4	5	1	1	1	1	0	0	0	9
atwork---escort	10	8	1	1	1	0	0	0	0	0	1	0	1
atwork---othdiscr	3	2	0	0	0	0	0	0	0	0	0	0	0
atwork---othmaint	33	14	6	3	2	1	0	0	1	0	0	1	3
atwork---shopping	29	16	8	0	1	0	0	0	2	0	0	1	4
atwork---social	3	3	0	0	0	0	0	0	0	0	0	0	0
atwork---univ	1	0	0	0	0	0	0	0	0	0	0	0	0
atwork---work	39	16	1	2	2	1	4	2	1	3	6	0	34
eatout---Home	307	248	104	86	95	78	80	83	84	74	71	50	953
eatout---Work	17	18	10	8	5	2	4	7	8	3	3	3	30
eatout---atwork	15	12	2	4	1	2	2	0	2	2	0	1	8
eatout---eatout	56	28	4	3	3	2	1	2	2	0	1	2	20
eatout---escort	66	35	14	4	4	2	1	4	1	1	4	3	25
eatout---othdiscr	51	38	6	3	2	3	4	2	3	1	2	2	37
eatout---othmaint	64	42	8	3	4	3	1	3	3	1	0	2	22
eatout---school	2	2	0	2	2	1	1	2	3	0	2	1	19
eatout---shopping	149	79	31	11	5	2	7	3	3	9	8	0	57
eatout---social	29	21	2	3	3	2	2	1	1	3	0	0	13
eatout---univ	3	1	2	0	0	0	0	0	0	0	0	1	1
eatout---work	27	17	7	4	5	8	5	8	10	5	5	7	152
escort---Home	671	528	180	116	122	116	93	83	99	84	81	80	971
escort---Work	3	2	0	1	1	1	3	0	1	1	0	0	4
escort---atwork	13	6	6	2	1	3	0	0	0	1	1	0	10
escort---eatout	101	61	19	9	0	0	1	2	3	2	0	2	41
escort---escort	220	134	39	10	5	4	5	5	6	3	8	3	53
escort---othdiscr	92	57	14	5	7	2	5	4	3	3	5	5	60
escort---othmaint	130	62	20	4	3	1	3	3	4	6	1	1	45
escort---school	8	15	12	10	7	13	8	13	12	4	4	9	103
escort---shopping	197	129	32	9	7	5	5	4	5	3	6	4	74
escort---social	45	25	6	3	3	2	5	0	2	1	2	3	26
escort---univ	11	11	3	4	0	1	2	2	0	1	1	0	13
escort---work	46	43	27	18	20	18	29	28	28	20	23	20	548
othdiscr---Home	325	225	131	96	135	109	109	104	95	87	81	61	1129
othdiscr---Work	2	2	0	0	0	0	0	0	0	0	0	1	0
othdiscr---atwork	3	0	0	0	0	0	0	0	0	0	0	0	1
othdiscr---eatout	118	64	18	4	4	3	3	2	1	5	1	3	30
othdiscr---escort	95	52	15	2	2	5	0	0	6	1	1	0	22
othdiscr---othdiscr	86	42	12	2	4	2	2	2	3	2	1	1	40
othdiscr---othmaint	87	49	6	2	1	1	1	4	3	3	1	0	18
othdiscr---school	3	6	4	4	1	0	0	5	3	2	1	1	24
othdiscr---shopping	201	115	34	6	5	7	0	4	8	3	3	1	51
othdiscr---social	58	29	7	4	0	2	0	0	2	1	2	0	14
othdiscr---univ	2	0	1	0	0	0	0	0	0	0	0	0	4
othdiscr---work	15	5	4	2	2	2	2	5	4	5	6	4	75
othmaint---Home	318	259	110	99	100	103	116	110	104	85	68	72	997
othmaint---Work	14	8	1	7	6	3	3	2	5	2	1	1	11
othmaint---atwork	15	9	7	3	3	3	3	2	3	2	1	2	19
othmaint---eatout	105	55	17	7	4	1	1	0	2	5	1	5	37
othmaint---escort	98	71	12	4	4	2	4	2	4	3	1	3	38
othmaint---othdiscr	76	34	10	3	4	0	2	1	3	2	1	4	36
othmaint---othmaint	119	69	17	3	5	4	2	9	6	4	1	3	61
othmaint---school	0	1	2	0	1	0	4	1	1	0	1	0	24
othmaint---shopping	228	129	34	20	9	13	15	5	12	8	7	7	125
othmaint---social	35	18	4	3	2	0	3	2	0	1	2	3	19
othmaint---univ	10	1	1	0	0	0	0	0	0	0	0	1	7
othmaint---work	37	19	6	8	6	4	6	9	3	5	6	3	147
school---Home	162	259	267	249	261	246	266	219	210	172	143	144	1644
school---eatout	47	30	9	7	4	1	2	6	4	5	6	1	34
school---escort	61	41	23	7	2	5	5	3	12	3	4	5	71
school---othdiscr	81	47	19	11	5	3	5	3	6	3	5	5	55
school---othmaint	45	22	5	1	5	2	4	2	4	1	2	1	38
school---shopping	34	21	8	8	3	3	2	5	2	2	3	4	46
school---social	30	15	6	4	5	2	4	2	1	5	2	7	28
shopping---Home	650	515	221	136	157	159	169	150	158	136	135	132	1870
shopping---Work	11	8	8	1	1	3	1	1	2	1	3	1	12
shopping---atwork	8	3	3	5	1	1	2	2	1	1	0	0	7
shopping---eatout	171	99	25	8	3	2	2	3	5	7	10	3	57
shopping---escort	150	100	18	4	1	2	7	1	2	1	4	6	37
shopping---othdiscr	80	52	13	7	4	4	5	3	2	3	4	3	51
shopping---othmaint	172	123	29	7	5	4	1	8	3	4	7	5	59
shopping---school	2	1	1	2	2	0	1	0	0	0	0	0	4
shopping---shopping	474	345	90	22	10	12	14	8	11	11	13	6	161
shopping---social	78	37	11	4	3	2	3	2	3	3	0	2	35
shopping---univ	4	6	0	0	1	0	1	1	0	0	1	0	0
shopping---work	39	27	11	8	5	4	5	11	4	4	8	8	144
social---Home	120	106	56	43	45	60	50	38	48	38	31	46	528
social---Work	2	1	0	1	0	0	0	0	0	0	0	0	1
social---atwork	0	0	1	0	0	0	0	0	0	0	0	0	0
social---eatout	38	28	3	2	2	1	2	4	1	2	0	2	18
social---escort	38	26	5	1	1	1	0	0	0	1	0	0	16
social---othdiscr	33	17	6	3	3	3	6	1	3	4	1	1	20
