pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
shopping---school	2	1	2	2	1	0	1	0	0	0	0	0	4
shopping---shopping	483	342	85	21	10	13	13	7	11	11	13	6	164
shopping---social	78	37	11	4	3	2	3	2	3	3	0	2	35
shopping---univ	5	5	0	0	1	0	1	1	0	0	1	0	0
shopping---work	41	26	11	8	5	4	4	11	4	4	8	8	144
social---Home	121	101	50	43	45	60	52	39	48	40	31	45	534
social---Work	2	1	0	1	0	0	0	0	0	0	0	0	1
social---atwork	0	0	1	0	0	0	0	0	0	0	0	0	0
social---eatout	37	28	4	2	2	1	2	4	1	2	0	2	18
social---escort	39	25	4	1	1	1	1	0	0	1	0	0	16
social---othdiscr	33	17	7	3	3	3	6	1	3	4	1	1	19
social---othmaint	28	17	4	6	1	1	1	3	0	0	0	2	20
social---school	0	3	1	0	2	1	1	0	1	0	0	2	12
social---shopping	58	35	6	6	3	1	1	4	6	2	2	0	30
social---social	38	17	1	2	2	4	1	2	0	2	1	1	25
social---univ	5	4	0	0	0	0	0	0	0	0	1	0	4
social---work	10	8	3	0	3	5	1	0	0	2	0	3	32
univ---Home	73	56	24	19	14	20	15	11	11	14	12	13	153
univ---eatout	18	8	3	1	0	0	1	2	0	0	0	1	6
univ---escort	14	4	2	2	0	2	0	1	0	1	2	1	6
univ---othdiscr	18	5	3	1	2	0	0	0	0	0	0	0	2
univ---othmaint	21	2	1	0	4	0	1	0	1	0	1	0	4
univ---shopping	16	14	3	2	0	0	3	1	0	1	0	0	4
univ---social	6	3	1	1	0	0	1	0	0	0	0	0	1
univ---univ	6	2	2	0	0	0	0	1	0	0	0	0	2
univ---work	11	2	3	2	0	0	0	0	0	0	3	3	22
work---Home	109	113	96	135	171	221	243	209	199	202	207	170	2924
work---Work	32	20	14	7	6	6	0	4	4	1	1	3	25
work---atwork	708	442	148	90	97	85	80	49	67	50	49	59	442
work---eatout	155	77	16	7	6	5	11	12	3	8	9	10	108
work---escort	162	93	27	5	9	5	10	9	11	8	3	9	149
work---othdiscr	83	35	10	2	3	0	3	2	4	1	1	1	46
work---othmaint	166	91	17	3	7	3	6	6	9	4	10	10	119
work---school	3	0	0	0	0	0	0	0	0	0	0	0	0
work---shopping	220	121	37	10	18	10	10	14	22	18	9	13	189
work---social	44	19	7	8	3	4	5	1	4	3	2	3	32
work---univ	11	7	5	1	1	1	1	1	0	1	0	0	4
work---work	164	71	32	19	20	27	8	21	23	20	15	14	362

average trip duration: 3653.6051242935027 seconds = 01:00:53
