pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
shopping---school	2	1	2	2	1	0	1	0	0	0	0	0	4
shopping---shopping	481	341	87	20	9	12	13	7	11	11	13	7	165
shopping---social	82	35	9	4	4	2	3	2	3	3	0	2	34
shopping---univ	4	6	0	0	1	0	1	1	0	0	1	0	0
shopping---work	42	25	11	8	5	4	5	11	4	4	8	8	144
social---Home	122	102	47	43	46	60	51	39	49	42	30	46	533
social---Work	2	1	0	1	0	0	0	0	0	0	0	0	1
social---atwork	0	0	1	0	0	0	0	0	0	0	0	0	0
social---eatout	38	26	5	2	2	1	2	4	1	2	0	2	18
social---escort	40	24	4	1	1	1	0	0	0	1	1	0	16
social---othdiscr	33	18	6	3	3	3	6	1	3	4	1	1	19
social---othmaint	28	16	4	7	1	1	1	3	0	0	0	2	20
social---school	0	3	1	0	2	1	1	0	1	0	0	2	12
social---shopping	59	33	7	6	3	1	1	4	6	2	2	0	30
social---social	40	15	1	2	2	3	1	2	0	2	1	1	26
social---univ	4	5	0	0	0	0	0	0	0	0	1	0	4
social---work	10	8	3	0	3	5	1	0	0	2	0	3	32
univ---Home	72	60	21	19	14	20	14	11	11	13	13	12	154
univ---eatout	18	8	3	1	0	0	1	2	0	0	0	1	6
univ---escort	14	4	2	2	0	2	0	1	0	1	2	1	6
univ---othdiscr	18	5	3	1	2	0	0	0	0	0	0	0	2
univ---othmaint	20	3	1	0	4	0	1	0	1	0	1	0	4
univ---shopping	16	14	3	2	0	0	2	1	1	1	0	0	4
univ---social	6	3	1	1	0	0	1	0	0	0	0	0	1
univ---univ	7	2	1	0	0	0	0	1	0	0	0	0	2
univ---work	11	2	3	3	0	0	0	0	0	0	3	3	21
work---Home	108	108	96	145	170	219	244	213	199	202	206	171	2917
work---Work	32	20	14	6	6	6	0	4	4	1	1	3	26
work---atwork	710	437	153	91	96	82	80	50	67	49	48	60	443
work---eatout	154	78	16	7	7	5	11	11	3	8	9	10	108
work---escort	161	93	28	6	9	5	10	10	11	7	3	9	148
work---othdiscr	84	35	10	2	2	0	3	2	4	1	1	1	46
work---othmaint	165	90	17	3	7	4	6	6	9	4	10	10	120
work---school	3	0	0	0	0	0	0	0	0	0	0	0	0
work---shopping	217	122	38	9	20	10	11	14	21	18	9	13	189
work---social	45	18	7	7	3	4	5	1	4	4	2	3	32
work---univ	11	7	5	1	1	1	1	1	0	1	0	0	4
work---work	164	72	30	20	20	27	8	21	23	20	15	14	362

average trip duration: 3656.876884987621 seconds = 01:00:56
