pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
shopping---school	2	1	2	2	1	0	1	0	0	0	0	0	4
shopping---shopping	477	348	92	21	8	12	14	8	11	11	11	5	160
shopping---social	80	36	10	4	3	3	3	2	3	3	0	2	34
shopping---univ	4	5	1	0	1	0	1	1	0	0	1	0	0
shopping---work	40	26	11	8	5	4	5	11	4	4	8	8	144
social---Home	121	106	54	43	41	61	49	38	49	40	29	45	533
social---Work	2	1	0	1	0	0	0	0	0	0	0	0	1
social---atwork	0	0	1	0	0	0	0	0	0	0	0	0	0
social---eatout	38	28	4	2	2	1	2	4	1	2	0	2	17
social---escort	37	25	7	1	1	1	0	0	0	1	1	0	15
social---othdiscr	33	19	6	3	3	2	6	1	3	4	1	1	19
social---othmaint	28	16	4	7	1	1	1	3	0	0	0	2	20
social---school	0	3	1	0	2	1	1	0	0	1	0	2	12
social---shopping	57	36	6	6	3	1	1	4	6	2	2	0	30
social---social	40	15	1	2	2	4	1	2	0	2	1	1	25
social---univ	5	4	0	0	0	0	0	0	0	0	1	0	4
social---work	10	8	3	0	3	5	1	0	0	2	0	2	33
univ---Home	73	57	22	19	14	19	14	11	11	14	14	12	153
univ---eatout	18	8	3	1	0	0	1	2	0	0	0	1	6
univ---escort	14	4	2	2	0	2	0	1	0	1	2	1	6
univ---othdiscr	18	5	3	1	2	0	0	0	0	0	0	0	2
univ---othmaint	21	2	1	0	4	0	1	0	1	0	1	0	4
univ---shopping	16	14	3	2	0	0	2	1	1	1	0	0	4
univ---social	6	3	1	1	0	0	1	0	0	0	0	0	1
univ---univ	7	2	1	0	0	0	0	1	0	0	0	0	2
univ---work	11	2	3	3	0	0	0	0	0	0	3	3	21
work---Home	112	111	115	135	178	215	241	204	199	194	207	169	2918
work---Work	32	20	14	6	6	6	0	4	4	0	1	3	27
work---atwork	712	437	150	100	93	84	78	49	67	48	50	57	441
work---eatout	155	77	18	7	7	5	10	11	3	8	10	10	106
work---escort	161	93	29	5	9	5	10	10	11	6	3	9	148
work---othdiscr	83	34	11	2	2	0	3	3	4	1	1	2	45
work---othmaint	166	89	20	3	7	3	6	6	9	4	9	10	119
work---school	3	0	0	0	0	0	0	0	0	0	0	0	0
work---shopping	220	119	40	9	18	10	11	14	20	18	9	13	190
work---social	44	18	8	8	3	4	4	1	4	3	3	3	32
work---univ	11	7	5	1	1	1	1	1	0	1	0	0	4
work---work	162	73	32	17	21	28	9	20	23	18	18	14	361

average trip duration: 3652.427411789721 seconds = 01:00:52
